9780679735472,067973547X,Touching the Rock,An Experience of Blindness,John M. Hull,Biography & Autobiography,http://books.google.com/books/content?id=FcKGDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An intensely personal exploration of blindness reveals a world of sound and echo, of people without faces, of the strange relationship between waking and dreaming, and of new perceptions of nature, personality, and human experience",1992.0,3.97,248.0,128.0,"rgb(61, 135, 170)"
9780679735779,0679735771,American Psycho,A Novel,Bret Easton Ellis,Fiction,http://books.google.com/books/content?id=1fMSEAFJanAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Patrick Bateman is twenty-six and works on Wall Street; he is handsome, sophisticated, charming and intelligent. He is also a psychopath. American Psycho is a bleak, bitter, black comedy about a world we all recognize but do not wish to face and it takes us to a head-on collision with America's greatest dream - and its worst nightmare.",1991.0,3.82,399.0,193100.0,"rgb(166, 131, 112)"
9780679735878,0679735879,The Unconsoled,,Kazuo Ishiguro,Fiction,http://books.google.com/books/content?id=hypKrsU9DEYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Arriving in a European city with significant gaps in his memory, Ryder, a renowned pianist, is overwhelmed by an onslaught of strangers who seem to know him and of whom he experiences vague, dreamlike recollections. Reprint. 75,000 first printing.",1996.0,3.53,535.0,560.0,"rgb(199, 179, 163)"
9780679736400,0679736409,"Last Tales: The cardinal's first tale ; The cloak ; Night walk ; Of hidden thoughts and of heaven ; Tales of two old gentlemen ; The cardinal's third tale ; The blank page ; New Gothic Tales: The cyratids, an unfinished tale ; Echoes ; New Winter's tales: A country tale ; Copenhagen season ; Converse at night in Copenhagen",,Karen Blixen,,,,1975.0,4.09,352.0,322.0,"rgb(240,240,240)"
9780679736530,0679736530,The Hamlet,The Corrected Text,William Faulkner,Fiction,http://books.google.com/books/content?id=1lIMRpyDihMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Traces the growing power of Flem Snopes, a white-trash farmer, in the Mississippi town of Frenchman's Bend",1991.0,3.87,409.0,4082.0,"rgb(204, 186, 175)"
9780679736851,0679736859,Athena,A Novel,John Banville,Fiction,http://books.google.com/books/content?id=KJo8PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An artist with a violent past meets a woman who appears to emerge from his paintings, and their subsequent compulsive affair is reflected in his artwork, until the woman suddenly vanishes. Reprint. 10,000 first printing.",1996.0,3.65,240.0,379.0,"rgb(160, 128, 151)"
9780679736882,0679736883,The Radicalism of the American Revolution,,Gordon S. Wood,History,http://books.google.com/books/content?id=TfxvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Examines colonial society and the transformations in colonial life that resulted from the republican tendencies brought to the surface by the Revolution,1993.0,4.05,447.0,4064.0,"rgb(69, 75, 54)"
9780679737117,0679737111,Mortals,,Norman Rush,Fiction,http://books.google.com/books/content?id=ZAKWDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In the heart of Botswana, the live of three ex-patriate Americans--a contract CIA agent undercover in the guise of an English instructor at a private school, his disaffected wife, and an iconoclastic black holistic physician--entangle with that of a local populist leader as a violent insurrection erupts in the area. Reader's Guide available. Reprint. 10,000 first printing.",2004.0,3.75,736.0,459.0,"rgb(145, 110, 78)"
9780679737315,0679737316,Selected Speeches and Writings,,Abraham Lincoln,History,http://books.google.com/books/content?id=7PuBQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Records Lincoln's campaigns for public office, the evolution of his stand against slavery, his debates with Stephen Douglas, and the great addresses of his presidency",1992.0,4.23,515.0,169.0,"rgb(198, 188, 190)"
9780679742586,0679742581,"Caramelo, Or, Puro Cuento",A Novel,Sandra Cisneros,Fiction,http://books.google.com/books/content?id=nWNpPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"During her family's annual car trip from Chicago to Mexico City, Lala Reyes listens to stories about her family, including her grandmother, the descendant of famous shawl makers, one of which has come into Lala's possession.",2003.0,3.89,441.0,9001.0,"rgb(214, 216, 172)"
9780679744474,0679744479,Written on the Body,,Jeanette Winterson,Fiction,http://books.google.com/books/content?id=ZZ5d7mvfriUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A combined love story and philosophical meditation on the body as a physical phenomenon thrusts the reader into the life of a married woman and her erotic relationship with an unidentified lover who narrates the story,1994.0,4.07,192.0,20182.0,"rgb(74, 60, 60)"
9780679745396,0679745394,After Henry,,Joan Didion,Fiction,http://books.google.com/books/content?id=Iau9QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Presents essays that discern the social and political importance behind the day's most lurid news,1993.0,3.82,320.0,1145.0,"rgb(107, 134, 108)"
9780679745570,0679745572,The grass harp,including A tree of night and other stories. Truman Capote,Truman Capote,Fiction,http://books.google.com/books/content?id=OjevJqEkYYoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,The protagonists of these nine short stories learn to accept the harsh loneliness of life,1993.0,4.01,272.0,4451.0,"rgb(111, 92, 61)"
9780679745648,0679745645,"Other Voices, Other Rooms",,Truman Capote,Fiction,http://books.google.com/books/content?id=vJ0Eo_6O9-cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A boy matures amidst the odd characters who live in Skully's Landing,1994.0,3.81,232.0,10212.0,"rgb(49, 35, 60)"
9780679748144,0679748148,Sanctuary,The Corrected Text,William Faulkner,Fiction,http://books.google.com/books/content?id=BHCou3cBjQsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,An assortment of perverse characters act out this dramatic story of the kidnapping of a Mississippi debutante,1993.0,3.64,317.0,8999.0,"rgb(166, 156, 137)"
9780679749066,0679749063,The Great American Novel,,Philip Roth,Fiction,http://books.google.com/books/content?id=pcQj2pcrRgcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A baseball farce in which Philip Roth casts an unlikely group of men as the country's baseball heroes.,1973.0,3.64,416.0,174.0,"rgb(23, 34, 91)"
9780679749844,0679749845,The Comfort of Strangers,,Ian McEwan,Fiction,http://books.google.com/books/content?id=O16AzUYDdmkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"While on holiday, a young couple meets the son of the local gentry and his wife and are drawn by sexual obsession into a nightmare of violence",2002.0,3.42,128.0,10331.0,"rgb(187, 217, 206)"
9780679753773,067975377X,"Asa, as I Knew Him",,Susanna Kaysen,Fiction,http://books.google.com/books/content?id=jjADbFibh-sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Dinah Sachs relives the history of her relationship with Asa Thayer, the handsome editor of the magazine where she works, and in doing so, describes the failure of passion and the creativity and transcendence inherent in love",1994.0,3.58,159.0,205.0,"rgb(63, 49, 20)"
9780679755487,0679755489,The Death of Virgil,,Hermann Broch,Fiction,http://books.google.com/books/content?id=-qg_DwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"It is the reign of the Emperor Augustus, and Publius Vergilius Maro, the poet of the Aeneid and Caesar's enchanter, has been summoned to the palace, where he will shortly die. Out of the last hours of Virgil's life and the final stirrings of his consciousness, the Austrian writer Hermann Broch fashioned one of the great works of twentieth-century modernism, a book that embraces an entire world and renders it with an immediacy that is at once sensual and profound. Begun while Broch was imprisoned in a German concentration camp, The Death of Virgil is part historical novel and part prose poem -- and always an intensely musical and immensely evocative meditation on the relation between life and death, the ancient and the modern.",1995.0,4.19,496.0,756.0,"rgb(103, 113, 88)"
9780679755524,0679755527,The Son Avenger,,Sigrid Undset,Fiction,http://books.google.com/books/content?id=n8YHAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Powerfully written and filled with magnificent vignettes of the daily life of a medieval estate, 'The Son Avenger' suggests a Greek tragedy whose vision of fate coexists with a Christian sense of suffering and forgiveness. And in the somber, twilight figure of 'Olav the Bad, ' Undset has created an antihero as moving as Oedipus or Lear.",1995.0,4.39,288.0,257.0,"rgb(178, 128, 65)"
