isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,dominant_color,category_group
9781740599085,174059908X,Amsterdam,,Andrew Bender,Travel,http://books.google.com/books/content?id=_iiWTKQTt7sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Marvel at the Dutch Masters and take a step back in time in an elegant merchant's house. Join the late-night revellers in the Red Light District or cosy-up canalside in a "" brown café "". Get the low-clown on Queen's Day and see the Royal Orchestra at the Concertgebouw. Elegant, history-steeped port; liberal, laid-back party town. Connect with your Amsterdam using this stylish and streetwise guide. Comprehensive listings - more than 250 reviews of 4 the best restaurants, cafés, coffeeshops and clubs in town. Expanded architecture chapter - get gable- gazing with our chapter dedicated to this remarkable city's characterful buildings. Be informed - in-depth analysis of current events gets you under the skin of the city. Explore the city your way- tailor-made cycling and walking tours and recommended canal cruises",2006.0,3.87,298.0,16.0,"rgb(55, 66, 69)",Arts & Leisure Time
9781740599245,1740599241,Japan,,Chris Rowthorn,Travel,http://books.google.com/books/content?id=G7HJwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Complemented by easy-to use, reliable maps, helpful recommendations, authoritative background information, and up-to-date coverage of things to see and do, these popular travel guides cover in detail countries, regions, and cities around the world for travelers of every budget, along with extensive itineraries, maps with cross-referencing to the text, ""Top 10"" and ""Top 5"" lists, and other practical features.",2005.0,4.04,812.0,707.0,"rgb(32, 47, 53)",Arts & Leisure Time
9781741040913,1741040914,London,,Martin Hughes;Sarah Johnstone;Tom Masters,Travel,http://books.google.com/books/content?id=5DQXAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This jolly good guide has elaborate descriptions of things to see and do on and alongside the River Thames, plus the detailed entertainment section covers music, theater and spectator sports.",2004.0,4.02,480.0,62.0,"rgb(240, 243, 235)",Arts & Leisure Time
9781741042955,174104295X,Ecuador & the Galápagos Islands,,Danny Palmerlee;Michael Grosberg;Carolyn McCarthy,Travel,http://books.google.com/books/content?id=3l4dypdvRXAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Describes the people, customs, geography, and climate of Ecuador and the Galapagos Islands; recommends hotels and restaurants; and looks at points of interest in each region.",2006.0,3.87,440.0,64.0,"rgb(190, 139, 129)",Arts & Leisure Time
9781741044768,1741044766,Eastern Europe,,Tom Masters,Travel,http://books.google.com/books/content?id=ZEWKJKR_eFgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This country guide offers down to earth, accurate information for every budget. Includes detailed Getting Started and itinerary chapters, Highlights sections that showcase the country's must-see sights, easy-to-use grid-referenced maps, and chapters on history, culture, food and environment.",2007.0,3.89,988.0,62.0,"rgb(200, 95, 39)",Arts & Leisure Time
9781741045918,1741045916,Europe on a Shoestring,,Sarah Johnstone,Travel,http://books.google.com/books/content?id=e7_-rb4Et6UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Lonely Planet's Shoestring Guides are the passport to the adventure of a lifetime--without blowing a traveller's budget. Along with insider tips on how to eat, sleep and travel cheaply are sections that cover studying, working and volunteering.Europe on a Shoestring is the single most comprehensive guide to Europe, covering 44 countries and Kaliningrad.",2007.0,4.05,1284.0,357.0,"rgb(236, 51, 12)",Arts & Leisure Time
9781840224535,1840224533,The Death of Ivan Ilyich and Other Stories,,Leo Tolstoy,Fiction,http://books.google.com/books/content?id=qzcSTHoNdSsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Tolstoy wrote many masterly short stories, and this volume contains four of the longest and best in distinguished translations that have stood the test of time.",2004.0,4.1,256.0,305.0,"rgb(110, 103, 97)",Fiction
9781840460278,184046027X,E.M. Forster - A Passage to India,,Betty Jay,Language Arts & Disciplines,http://books.google.com/books/content?id=Eyga_7KoLpgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A Passage to India (1924), the last of E. M. Forster's novels to be published in his lifetime, became an immediate bestseller and also met with critical acclaim for its moral and political commentary on the crossings between individuals and cultures in the India of the British Empire. Forster's record of the terrible consequences of failed connection, of the unexpected upheavals that unsettle the calm of middle-class life, and of the challenges to the ideological foundations of Empire draw their strength from the novel's blend of intense realism and complex narrative technique. In this Readers' Guide, Betty Jay considers the establishment of Forster's reputation and the various attempts of critics to decipher the complex codes that are a feature of his novel. Successive chapters focus on debates around Forster's liberal-humanism, with essays from F. R. Leavis, Lionel Trilling and Malcolm Bradbury; on the indeterminacy and ambiguity of the text, with extracts from essays by Gillian Beer, Robert Barratt, Wendy Moffat and Jo-Ann Hoeppner Moran; and on the sexual politics of Forster's work, with writings from Elaine Showalter, Frances L. Restuccia and Eve Dawkins Poll. The Guide concludes with essays from Jeffrey Meyers and Jenny Sharpe, who read A Passage to India in terms of its engagement with British imperialism.",1998.0,3.56,176.0,108.0,"rgb(81, 67, 60)",Guides
9781840462685,184046268X,Jean Rhys,Wide Sargasso Sea,Carl Plasa,Literary Criticism,http://books.google.com/books/content?id=0sF1QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In this Reader's Guide, Carl Plasa provides a comprehensive survey and analysis of the most stimulating critical responses to Wide Sargasso Sea. The opening chapter outlines initial reactions to the novel from English and Caribbean critics, charting the differences between them. Chapter Two explores Wide Sargasso Sea 's dialogue with Jane Eyre and the theoretical questions it has raised. Succeeding chapters examine how critics have assessed the racial politics of Rhys's text, discuss the novel's African Caribbean cultural legacy, and explore how critics read the work both in terms of its moment of production and the early Victorian period in which it is set.",2003.0,3.64,194.0,165.0,"rgb(36, 52, 91)",Arts & Leisure Time
9781841581224,1841581224,"The Nightmare Years, 1930-1940",,William L. Shirer,History,http://books.google.com/books/content?id=d8FVAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"At the Nuremberg rallies, when Hitler roared through the streets elebrating his newly-won domination of Germany, Shirer was there. In Munich, as Chamberlain abandoned the Czechs, Shirer was there. In Vienna during the night of the Anschluss, in Berlin, when Hitler loosed his Blitzkrieg on Poland and began the war, Shirer was there. Through articles, translations of Hitler's speeches, and his own broadcasts, Shirer tried to warn the Western world of the terrible evil that was arising in Germany. The Nightmare Years is his witness to these years in which a collective madness gripped the German soul as it lurched towards war and Armageddon.",2001.0,4.23,654.0,817.0,"rgb(233, 233, 239)",Non-Fiction
